ID	audio	tgt_text
63	63_16k.wav	Сотрудничество университетов, национальных лабораторий и индустрий, не говоря уже об огромном финансировании, состоящем из длинных и неопределённых инвестиционных циклов.
64	64_16k.wav	Многие из вас могут подумать, что революционные технологии создаются звёздами, такими как Стив Джобс или Илон Маск.
65	65_16k.wav	Но каждый раз, когда вы пользуетесь интернетом, навигатором или выкрикивате что-то своей Alexa, вы делаете это благодаря правительству США.
66	66_16k.wav	На Западе мы часто говорим о том, что надо подталкивать покупателей к тому, чтобы они выбирали лучшие товары.
67	67_16k.wav	А в Китае массовое внедрение транспорта следующего поколения случилось как по щелчку пальцев.
68	68_16k.wav	Но я хочу рассказать вам другую историю.
69	69_16k.wav	Ещё более сложный процесс происходит на местах.
70	70_16k.wav	Мы называем его «экономикой мэров». Это децентрализированная экономическая модель, побуждающая творчество с самых нижних уровней.
71	71_16k.wav	Вопреки распространённому мнению, это не централизованный подход, в котором доминирует всемогущее государство.
72	72_16k.wav	Раньше на него было легко ответить.
73	73_16k.wav	Если вам, как и мне, перевалило за 45, то вы выросли в мире, которым управляли два гиганта.
74	74_16k.wav	США командовали с одной стороны железного занавеса, а СССР устанавливал свои правила с другой.
75	75_16k.wav	А примерно 15 лет назад всё стало немного сложнее.
76	76_16k.wav	США больше не хотели быть мировым жандармом или архитектором мировой торговли, или даже защитником мировых ценностей.
77	77_16k.wav	Другие страны становились сильнее, и они легко могли игнорировать многие правила, которые им не нравились, порой даже устанавливая свои собственные правила.
78	78_16k.wav	В прошлом великая держава находится в серьёзном упадке, и они этому не рады.
79	79_16k.wav	Можно спорить о том, кто в этом виноват, но мы имеем то, что имеем.
80	80_16k.wav	Второе: Китай был интегрирован в институты, возглавляемые США, предполагая, что когда они станут богаче и сильнее, то превратятся в американцев.
81	81_16k.wav	Оказывается, они остались китайцами.
82	82_16k.wav	Третье: десятки миллионов граждан США и других состоятельных демократий чувствуют, что глобализация обошла их стороной.
83	83_16k.wav	Это игнорировалось на протяжении десятилетий.
84	84_16k.wav	Но из-за этого они стали считать, что их власти и лидеры не заслуживают своих полномочий.
85	85_16k.wav	И поэтому сегодня мы живём в мире без лидера.
86	86_16k.wav	Но, как мы знаем, это продлится недолго.
87	87_16k.wav	Какой мировой порядок можно ожидать в следующем десятилетии?
88	88_16k.wav	Что-то из того, что я скажу, может вас удивить.
89	89_16k.wav	Потому что у нас не будет ни биполярного, ни однополярного, ни даже многополярного мира.
90	90_16k.wav	Если у нас нет одной или двух сверхдержав, то у нас нет единого мирового порядка.
91	91_16k.wav	Но давайте начнём по порядку. Сегодня у нас есть глобальная система безопасности.
92	92_16k.wav	США и их союзники — тут самые сильные игроки.
93	93_16k.wav	США — это единственная страна в мире, которая может отправить своих солдат, матросов и военную технику в любой уголок мира.
94	94_16k.wav	Китай наращивает свой военный потенциал в Азии, но нигде больше.
95	95_16k.wav	Многие американские союзники в Азии обеспокоены этим.
96	96_16k.wav	В результате они всё больше зависят от системы безопасности США.
97	97_16k.wav	С вторжением России в Украину союзники США в Европе больше обеспокоины и зависимы от США и НАТО во главе с США.
98	98_16k.wav	В России, Китае и других странах есть ядерное оружие, но, к счастью, на сегодняшний день его использование остаётся самоубийством.
99	99_16k.wav	В результате мировой порядок безопасности однополярен и, скорее всего, таким и останется в следующие десять лет.
100	100_16k.wav	Наряду с порядком безопасности, существует мировой экономический порядок.
101	101_16k.wav	США остаётся устойчивой глобальной экономикой.
102	102_16k.wav	В Евросоюзе самый большой общий рынок, и они устанавливают правила.
