id,raw_transcription,path,lang,de
1752,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",10536763405165824117.wav,en,"Als Ergebnis sind zwei Fischarten ausgestorben, und zwei andere sind gefährdet, darunter der Schwellenkarpfen."
1749,"It was ruled by the ""Vichy"" French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them.",1054805305879816018.wav,en,"Es wurde von den ""Vichy""-Franzosen regiert. Das waren Franzosen, die im Jahr 1940 mit den Deutschen Frieden geschlossen hatten und stattdessen mit den Invasoren zusammengearbeitet hatten, anstatt gegen sie zu kämpfen."
1705,"On 15 August 1940, the Allies invaded southern France, the invasion was called ""Operation Dragoon"".",10550734868852131138.wav,en,"Am 15. August 1940 überfielen die Alliierten Südfrankreich, die Invasion wurde ""Operation Dragoon"" genannt."
1662,Alloys are basically a mixture of two or more metals. Don't forget that there are many elements on the periodic table.,10614481583312370701.wav,en,"Legierungen sind im Grunde eine Mischung aus zwei oder mehr Metallen. Vergiss nicht, dass es viele Elemente im Periodensystem gibt."
1729,"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",10622204403793540766.wav,en,"Zum Beispiel erstellen die Schüler der Bennet School in North Carolina jedes Jahr eine Website über ihren Ausflug in die Hauptstadt des Bundesstaates; jedes Jahr wird die Website umgebaut, aber alte Versionen bleiben online, um als Scapbook zu dienen."
1790,"His work is of such recognized quality and detail that he is one of the very few ""household names"" among philatelists. Some specialize in collecting his work alone.",10731896540541531669.wav,en,"Seine Arbeit ist von einer so anerkannten Qualität und Detailtreue, dass er einer der sehr wenigen ""bekannten Namen"" unter Philatelisten ist. Einige spezialisieren sich darauf, nur seine Arbeit zu sammeln."
1858,"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.",10751756685109361684.wav,en,"Danielle Lantagne, eine UN-Expertin für die Krankheit, erklärte, dass der Ausbruch wahrscheinlich von den Friedenstruppen verursacht wurde."
1789,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",10768814098664478369.wav,en,"Die anderen Nominierungen umfassen Bester Film, Regie, Kameraführung, Kostümdesign, Filmschnitt, Originalmusik, Szenenbild, Tonschnitt, Tonmischung und Originaldrehbuch."
1909,"Virtual teams are held to the same standards of excellence as conventional teams, but there are subtle differences.",10849792007407044602.wav,en,"Virtuelle Teams werden an denselben Qualitätsstandards gemessen wie konventionelle Teams, aber es gibt subtile Unterschiede."
1897,"In the north the region is bounded by the Sahel, and in the south and west by the Atlantic Ocean.",10861831846737909528.wav,en,Im Norden wird die Region vom Sahel begrenzt und im Süden und Westen vom Atlantik.
1680,"A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.",10894616243452123700.wav,en,"Ein gut gerundeter Athlet, der Tiger kann klettern (obwohl nicht gut), schwimmen, große Entfernungen springen und mit der fünffachen Kraft eines starken Menschen ziehen."
1953,He was subsequently relocated to Addenbrooke's Hospital in Cambridge.,10899527843662463911.wav,en,Er wurde anschließend ins Addenbrooke's Hospital in Cambridge verlegt.
1740,The pyramid sound and light show is one of the most interesting things in the area for kids.,10903101168349732260.wav,en,Die Ton- und Lichtshow an der Pyramide ist eine der interessantesten Dinge in der Gegend für Kinder.
1717,"Due to the underwater topology the return flow is concentrated at a few deeper sections, and a fast current to deep water may form there.",10933070083389897676.wav,en,"Aufgrund der Unterwasser-Topologie konzentriert sich der Rückstrom an einigen tieferen Stellen, und es kann eine schnelle Strömung zu tiefem Wasser entstehen."
1987,"The crash occurred high up in mountainous terrain, and is believed to have been the result of hostile fire.",10937407360976471523.wav,en,Der Absturz ereignete sich in gebirgigem Gelände in großer Höhe und soll auf feindliches Feuer zurückzuführen sein.
1990,"Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.",10938576782105608041.wav,en,"Blogs können auch dazu beitragen, das Schreiben von Schülern zu verbessern. Obwohl Schüler oft mit nachlässiger Grammatik und Rechtschreibung ihre Blog-Erfahrung beginnen, ändert sich dies in der Regel durch das Vorhandensein eines Publikums."
1908,This is an important way to distinguish between some verbs and objects.,10969774925516121312.wav,en,"Dies ist eine wichtige Möglichkeit, um zwischen einigen Verben und Objekten zu unterscheiden."
1752,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",11060294228176938598.wav,en,"Als Ergebnis sind zwei Fischarten ausgestorben, und zwei andere sind gefährdet, darunter der Humpback Chub."
2005,But there are a lot of things about birds that still look like a dinosaur.,1107772981946748169.wav,en,"Aber es gibt noch viele Dinge an Vögeln, die noch wie Dinosaurier aussehen."
1678,"Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.",1111475259790805601.wav,en,"Oliver Sacks deutete in seinem Aufsatz ""Die Rede des Präsidenten"" an, wie Menschen, die aufgrund einer Hirnschädigung Sprache nicht verstehen können, dennoch in der Lage sind, Aufrichtigkeit genau einzuschätzen."
1701,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.",11147918080606585533.wav,en,Ziegen scheinen vor etwa 10.000 Jahren in den Zagros-Bergen im Iran erstmals domestiziert worden zu sein.
2001,Travellers are strongly advised to be aware of any risk of severe weather affecting their area as they may affect any travel plans.,1116140877447157610.wav,en,"Reisende werden dringend darauf hingewiesen, sich über mögliche Risiken schwerer Wetterbedingungen in ihrer Region im Klaren zu sein, da diese jede Reiseplanung beeinträchtigen können."
1991,"During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.",1116401173651214130.wav,en,"Während dieser Periode der europäischen Geschichte geriet die katholische Kirche, die reich und mächtig geworden war, in die Kritik."
1895,"As knowledge of Greek declined, the West found itself cut off from its Greek philosophical and scientific roots.",11200231708585274851.wav,en,Mit dem Rückgang des griechischen Wissens fand sich der Westen von seinen griechischen philosophischen und wissenschaftlichen Wurzeln abgeschnitten.
1710,"Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious.""",11260391063812418810.wav,en,"Letzte Woche gab METI bekannt, dass Apple 34 weitere Überhitzungsereignisse gemeldet hat, die das Unternehmen als ""nicht ernsthaft"" bezeichnete."
1975,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,11265842188315045636.wav,en,Die Bevölkerung von Vatikanstadt liegt bei etwa 800. Es ist das kleinste unabhängige Land der Welt und das Land mit der geringsten Bevölkerung.
1864,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.",11318597463051480163.wav,en,"Frau Kirchner kündigte ihre Absicht an, sich im argentinischen Theater um das Präsidentenamt zu bewerben, demselben Ort, an dem sie 2005 ihre Kampagne für den Senat als Mitglied der Delegation der Provinz Buenos Aires begonnen hatte."
1720,The hot chocolate is up to Belgian standards. Fruit juices are pricey but excellent.,11374239868879585530.wav,en,"Der heiße Schokolade entspricht belgischen Standards. Fruchtsäfte sind teuer, aber ausgezeichnet."
1723,"The harbor was the site of an infamous naval standoff in 1889 when seven ships from Germany, the US, and Britain refused to leave the harbor.",11426556553252626005.wav,en,"Der Hafen war 1889 Schauplatz eines berüchtigten marinepolitischen Stillstands, als sieben Schiffe aus Deutschland, den USA und Großbritannien sich weigerten, den Hafen zu verlassen."
1769,"Built by the Egyptians in the third century BCE, the Great Pyramid is one of many large pyramid structures built to honor dead Pharaoh.",11459777646810052940.wav,en,"Errichtet von den Ägyptern im dritten Jahrhundert v. Chr., ist die Große Pyramide eine von vielen großen Pyramidenstrukturen, die errichtet wurden, um den verstorbenen Pharao zu ehren."
1794,"A civilization is a singular culture shared by a significant large group of people who live and work co-operatively, a society.",1146643745158029931.wav,en,"Eine Zivilisation ist eine einzigartige Kultur, die von einer signifikanten großen Gruppe von Menschen geteilt wird, die kooperativ leben und arbeiten, eine Gesellschaft."
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,11483786862560523973.wav,en,"Im Norden und leicht erreichbar liegt die romantische und faszinierende Stadt Sintra, die Ausländern nach einem glühenden Bericht über ihre Pracht von Lord Byron bekannt gemacht wurde."
1855,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",11497310594035767755.wav,en,"Löwenrudel verhalten sich ähnlich wie Rudel von Wölfen oder Hunden, Tiere, die überraschend ähnliche Verhaltensweisen wie Löwen (aber nicht andere Großkatzen) aufweisen und auch sehr gefährlich für ihre Beute sind."
1882,"Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago.",11504385604540375365.wav,en,"Wissenschaftler hoffen zu verstehen, wie Planeten entstehen, insbesondere wie die Erde entstand, da Kometen vor langer Zeit mit der Erde kollidierten."
1890,Most modern research telescopes are enormous facilities in remote areas with favorable atmospheric conditions.,11525263464519603482.wav,en,Die meisten modernen Forschungsteleskope sind riesige Einrichtungen in abgelegenen Gebieten mit günstigen atmosphärischen Bedingungen.
1849,"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.",1153104690713813269.wav,en,"Wenn Sie den Film „Das Vermächtnis der Tempelritter“ gesehen haben, denken Sie möglicherweise, dass eine Schatzkarte auf der Rückseite der Unabhängigkeitserklärung geschrieben wurde."
1893,"The Sundarbans are the largest littoral mangrove belt in the world, stretching 80 km (50 mi) into the Bangladeshi and Indian hinterland from the coast.",11536232800365538941.wav,en,"Die Sundarbans sind der größte Küstenmangrovenwald der Welt, der sich 80 km ins Landesinnere Bangladeschs und Indiens von der Küste erstreckt."
1667,"Generally speaking, two behaviors can emerge as managers begin to lead their former peers. One end of the spectrum is trying to remain “one of the guys” (or gals).",11554335886429174193.wav,en,"Generell gesprochen können sich zwei Verhaltensweisen manifestieren, wenn Manager anfangen, ihre ehemaligen Kollegen zu führen. Ein Extrem ist der Versuch, weiterhin ""einer von ihnen"" zu bleiben."
1814,Hydrogen ions are protons that had their electrons stripped off them (since Hydrogen atoms consist of one proton and one electron).,11559094331412401332.wav,en,"Wasserstoffionen sind Protonen, denen ihre Elektronen abgestreift wurden (da Wasserstoffatome aus einem Proton und einem Elektron bestehen)."
1893,"The Sundarbans are the largest littoral mangrove belt in the world, stretching 80 km (50 mi) into the Bangladeshi and Indian hinterland from the coast.",11593450817032542587.wav,en,"Die Sundarbans sind der größte küstennahe Mangrovengürtel der Welt, der sich 80 km ins Landesinnere von Bangladesch und Indien erstreckt."
1999,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",11596505942268625598.wav,en,Während der 1960er Jahre arbeitete Brzezinski für John F. Kennedy als sein Berater und dann für die Lyndon B. Johnson-Regierung.
1722,"Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.",11617272550749387741.wav,en,"Cuomo, 53, begann sein Amt als Gouverneur früher in diesem Jahr und unterzeichnete letzten Monat ein Gesetz, das die gleichgeschlechtliche Ehe legalisiert."
1778,Television reports show white smoke coming from the plant.,11665346626937246597.wav,en,"Fernsehberichte zeigen weißen Rauch, der aus dem Werk aufsteigt."
1830,"The ruling party, South West Africa People's Organisation (SWAPO), also retained a majority in the parliamentary elections.",11668734600035674277.wav,en,"Die regierende Partei, die Südwestafrikanische Volksorganisation (SWAPO), behielt auch eine Mehrheit bei den Parlamentswahlen."
1841,"Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.",11670188897888947692.wav,en,"Es kann nichts anderes gesehen werden als der klare, schöne Himmel über uns und die vielen umliegenden Berge. Sehr wenig von dieser Welt kann von innen in der Höhle gesehen oder gehört werden."
1866,"First, most riders wear riding boots with a heel and a smooth, quite narrow, sole.",11705046490861852963.wav,en,"Zuerst tragen die meisten Reiter Reitstiefel mit Absatz und einer glatten, ziemlich schmalen Sohle."
1712,"Since 1966 the Sundarbans have been a wildlife sanctuary, and it is estimated that there are now 400 Royal Bengal tigers and about 30,000 spotted deer in the area.",11766033532714442721.wav,en,"Seit 1966 sind die Sundarbans ein Wildreservat, und es wird geschätzt, dass es in der Gegend jetzt 400 königliche Bengaltiger und etwa 30.000 gefleckte Hirsche gibt."
1831,"The Plitvice Lakes national park is heavily forested, mainly with beech, spruce, and fir trees, and features a mixture of Alpine and Mediterranean vegetation.",11781376959217630586.wav,en,"Der Nationalpark Plitvicer Seen ist stark bewaldet, hauptsächlich mit Buchen, Fichten und Tannen, und weist eine Mischung aus alpiner und mediterraner Vegetation auf."
1939,Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.,11820398005906165915.wav,en,"Auch nach der Revolution standen alle männlichen Bewerber Berufen offen, was den ehrgeizigsten und erfolgreichsten zum Erfolg verhalf."
1870,The scenes are displayed on the pyramids and the different pyramids are lit up.,11827077161070295147.wav,en,Die Szenen werden auf den Pyramiden angezeigt und die verschiedenen Pyramiden leuchten auf.
1941,These couples may choose to make an adoption plan for their baby.,11853072634976133891.wav,en,"Diese Paare können sich entscheiden, einen Adoptionsplan für ihr Baby zu erstellen."
1911,"Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.",11880309600276730497.wav,en,"Ebenso benötigen Sie mit einem Schengen-Visum keine Visaanträge für jedes einzelne Schengen-Land, was Zeit, Geld und Papierkram spart."
1698,Everything in the Universe is made of matter. All matter is made of tiny particles called atoms.,11966709226632417907.wav,en,Alles im Universum besteht aus Materie. Alle Materie besteht aus winzigen Partikeln namens Atome.
1750,The find also grants insight into the evolution of feathers in birds.,11974497390699501411.wav,en,Der Fund gibt auch Einblick in die Evolution der Federn bei Vögeln.
1803,"The moisture on your hands will react with the outer layers, which will feel funny and form a sort of shell.",11987168412167267165.wav,en,"Die Feuchtigkeit auf deinen Händen wird mit den äußeren Schichten reagieren, was sich merkwürdig anfühlen und eine Art Schutzschicht bilden wird."
1792,This is called a chemical's pH. You can make an indicator using red cabbage juice.,12018418318980824126.wav,en,Dies wird als pH-Wert eines Chemikalie bezeichnet. Sie können einen Indikator mit Rotkohlsaft herstellen.
1757,"Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.",12156117084384995618.wav,en,"Nur Mutationen in Keimzellen können an Kinder weitergegeben werden, während Mutationen an anderer Stelle Zelltod oder Krebs verursachen können."
1860,The governor's office said nineteen of the injured were police officers.,12164368102080603077.wav,en,"Das Büro des Gouverneurs sagte, dass neunzehn der Verletzten Polizeibeamte waren."
1798,"In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.",1218355507714944126.wav,en,"In den Anfängen der Show war sie ausschließlich auf der langjährigen Internetradio-Website TogiNet Radio zu hören, die sich auf Talkradio spezialisiert hatte."
1824,"The Giza Plateau, or ""Giza Necropolis"" in the Egyptian Valley of the Dead contains several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx.",12190760535244332971.wav,en,"Das Gizeh-Plateau oder ""Gizeh-Nekropolis"" im ägyptischen Tal der Toten enthält mehrere Pyramiden (von denen die Große Pyramide die größte ist), mehrere kleine Gräber, mehrere Tempel und die große Sphinx."
1941,These couples may choose to make an adoption plan for their baby.,12200368278244671662.wav,en,"Diese Paare können sich entscheiden, einen Adoptionsplan für ihr Baby zu erstellen."
1896,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",12230326991067783666.wav,en,"USA Gymnastics und das USOC haben dasselbe Ziel - den Sport der Gymnastik und anderer so sicher wie möglich zu machen, damit Athleten ihren Träumen in einer sicheren, positiven und gestärkten Umgebung nachgehen können."
1955,"MS is a disease that affects the central nervous system, which is made up of the brain, the spinal cord and the optic nerve.",12239464249642485259.wav,en,"MS ist eine Krankheit, die das zentrale Nervensystem betrifft, das aus dem Gehirn, dem Rückenmark und dem Sehnerv besteht."
1881,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,12316410148883063626.wav,en,"Das Teilen eines Schulausflugs virtuell ist ebenfalls eine großartige Möglichkeit, um über einen Ausflug zu reflektieren und Erfahrungen mit zukünftigen Klassen zu teilen."
1797,Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.,12356293452530186109.wav,en,Jeder nimmt an der Gesellschaft teil und nutzt Transportsysteme. Fast jeder beschwert sich über Transportsysteme.
1899,Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira‘” on the Mountain of “Noor” (light) for contemplation.,12381237049043414166.wav,en,"Muhammad war tief interessiert an Angelegenheiten jenseits dieses weltlichen Lebens. Er pflegte eine Höhle aufzusuchen, die als ""Hira‘"" auf dem Berg ""Noor"" (Licht) bekannt wurde, um zu meditieren."
1691,"On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.",12382404601461539160.wav,en,"Auf einigen Strecken haben die größeren Unternehmen ihre eigenen Flugzeuge, aber für andere Strecken und kleinere Firmen gab es ein Problem."
1801,The parade of buildings that make the Hong Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.,1242235796224521830.wav,en,"Der Gebäude-Reigen, der die Skyline von Hongkong bildet, wurde mit einem funkelnden Säulendiagramm verglichen, das durch das Vorhandensein der Wasser des Victoria Harbor offensichtlich wird."
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,12442340605801616197.wav,en,"Das Seitenverhältnis dieses Formats (nach der Division durch zwölf, um das einfachste Ganzzahlenverhältnis zu erhalten) wird daher als 3:2 bezeichnet."
1732,"The age where the events took place is commonly referred as the High Middle Ages the period of European history in the 11th, 12th, and 13th centuries (AD 1000–1300).",12462354014280856258.wav,en,"Das Zeitalter, in dem die Ereignisse stattfanden, wird allgemein als Hochmittelalter bezeichnet, die Zeit der europäischen Geschichte im 11., 12. und 13. Jahrhundert (1000–1300 n. Chr.)."
1969,It states that the most effective place for the main subject is at the intersection of lines dividing the image into thirds vertically and horizontally (see example).,12517884865939916901.wav,en,"Es besagt, dass der effektivste Ort für das Hauptmotiv an der Schnittstelle der Linien liegt, die das Bild vertikal und horizontal in Drittel teilen (siehe Beispiel)."
1722,"Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.",125194026787628519.wav,en,"Cuomo, 53, begann sein Gouverneursamt früher in diesem Jahr und unterzeichnete letzten Monat ein Gesetz zur Legalisierung der gleichgeschlechtlichen Ehe."
1668,"It may also be beneficial for one to buy a Wild Card, which provides entry to either selections of parks in South Africa or all of the South African National Parks.",12519810849995407480.wav,en,"Es kann auch vorteilhaft sein, eine Wild Card zu kaufen, die den Zugang entweder zu einer Auswahl von Parks in Südafrika oder allen südafrikanischen Nationalparks ermöglicht."
2004,"The same month saw another airliner overrun a runway at Mashhad and strike a wall, killing seventeen.",12570605547501325774.wav,en,"Im selben Monat kam es zu einem weiteren Vorfall, bei dem ein Passagierflugzeug in Mashhad über die Startbahn hinausfuhr und eine Mauer traf, wobei siebzehn Menschen getötet wurden."
1750,The find also grants insight into the evolution of feathers in birds.,12596201646041937807.wav,en,Der Fund gibt auch Einblicke in die Evolution der Federn bei Vögeln.
1760,"Mosasaurus was the apex predator of its time, so it feared nothing, except other mosasaurs.",12596571867015231445.wav,en,"Mosasaurus war der Spitzenprädator seiner Zeit, also fürchtete es nichts, außer anderen Mosasauriern."
1930,"Six hostages, including the children and elderly, were released early, as were the Filipino photographers.",1261572251451962704.wav,en,"Sechs Geiseln, darunter Kinder und Älteste, wurden früh freigelassen, ebenso die philippinischen Fotografen."
1799,"Beyond Wednesday's event, Carpanedo competed in two individual races at the Championships.",12618421744672029626.wav,en,Jenseits des Ereignisses am Mittwoch nahm Carpanedo an zwei Einzelrennen bei den Meisterschaften teil.
1867,"Plants make oxygen which humans breathe, and they take in carbon-dioxide which humans exhale (that is, breathe out).",12682843461389402977.wav,en,"Pflanzen produzieren Sauerstoff, den Menschen atmen, und sie nehmen Kohlendioxid auf, das Menschen ausatmen (das heißt, ausatmen)."
2008,"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.",12700569942235742079.wav,en,"Andere Themen auf der Tagesordnung in Bali sind die Rettung der noch verbleibenden Wälder der Welt und der Austausch von Technologien, um Entwicklungsländern zu helfen, auf weniger verschmutzende Weise zu wachsen."
1821,The correlation between brain pathology and behaviour supports scientists in their research.,1270296314827012368.wav,en,Die Korrelation zwischen Hirnpathologie und Verhalten unterstützt Wissenschaftler in ihrer Forschung.
1779,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,12725120105000747485.wav,en,Die Ankündigung wurde nach einem Telefonat zwischen Trump und dem türkischen Präsidenten Recep Tayyip Erdoğan gemacht.
1911,"Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.",12728606633758857674.wav,en,"Ebenso brauchen Sie mit einem Schengen-Visum nicht für jedes der Schengen-Mitgliedsländer separat ein Visum zu beantragen, was Zeit, Geld und Papierkram spart."
1807,Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.,1273817225649957097.wav,en,"Italienisch ist auch die Alltagssprache, die von den meisten Menschen verwendet wird, die im Staat arbeiten, während Latein oft bei religiösen Zeremonien verwendet wird."
1980,"Unfortunately, studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty.",12741024238657315067.wav,en,"Leider ist es schwierig, den Verkehrsfluss zu studieren, da das Fahrverhalten nicht mit hundertprozentiger Sicherheit vorhergesagt werden kann."
1660,"Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel.",12742373433258665797.wav,en,"Der Romantizismus hatte ein großes Element des kulturellen Determinismus, entlehnt von Schriftstellern wie Goethe, Fichte und Schlegel."
1680,"A well rounded athlete, the tiger can climb (though not well), swim, leap great distances and pull with five times the force of a strong human.",1277588711703410007.wav,en,"Ein vielseitiger Athlet, der Tiger kann klettern (wenn auch nicht gut), schwimmen, große Distanzen springen und mit der fünffachen Kraft eines starken Menschen ziehen."
